date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:48	109550/109550	---MCZ	200	added ('OK')	text/html	date:Sat,%2006%20May%202023%2018:42:47%20GMT	https://www.web-design-prod.fr/	/home/khalil/websites/seima/www.web-design-prod.fr/index.html	(from )
19:42:48	180/180	---MC-	200	added ('OK')	text/plain	date:Sat,%2006%20May%202023%2018:42:47%20GMT	https://www.web-design-prod.fr/robots.txt		(from )
19:42:49	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2006%20May%202023%2018:42:48%20GMT	http://wwwwebdesignprodfr517c2.zapwp.com/	/home/khalil/websites/seima/wwwwebdesignprodfr517c2.zapwp.com/index.html	(from https://www.web-design-prod.fr/)
19:42:49	45224/45224	---M--	200	added ('OK')	image/webp	date:Sat,%2006%20May%202023%2018:42:49%20GMT	https://wwwwebdesignprodfr517c2.zapwp.com/q:intelligent/r:0/wp:1/w:1/u:https://www.web-design-prod.fr/wp-content/uploads/2021/04/image-web-design-prod.png	/home/khalil/websites/seima/wwwwebdesignprodfr517c2.zapwp.com/q_intelligent/r_0/wp_1/w_1/u_https_/www.web-design-prod.fr/wp-content/uploads/2021/04/image-web-design-prod.png	(from https://www.web-design-prod.fr/)
19:42:50	1103/1103	---MC-	200	added ('OK')	application/rss+xml	etag:%22472a6aee7bd4e7f41296b6bee4e84c87%22	https://www.web-design-prod.fr/feed/	/home/khalil/websites/seima/www.web-design-prod.fr/feed/index.html	(from https://www.web-design-prod.fr/)
19:42:50	727/727	---MC-	200	added ('OK')	application/rss+xml	etag:%22472a6aee7bd4e7f41296b6bee4e84c87%22	https://www.web-design-prod.fr/comments/feed/	/home/khalil/websites/seima/www.web-design-prod.fr/comments/feed/index.html	(from https://www.web-design-prod.fr/)
19:42:51	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2006%20May%202023%2018:42:50%20GMT	https://wwwwebdesignprodfr517c2.zapwp.com/q:intelligent/r:0/wp:1/w:1/u:https://www.web-design-prod.fr/wp-content/uploads/2020/08/mc-favicon.png	/home/khalil/websites/seima/wwwwebdesignprodfr517c2.zapwp.com/q_intelligent/r_0/wp_1/w_1/u_https_/www.web-design-prod.fr/wp-content/uploads/2020/08/mc-favicon.1.delayed	(from https://www.web-design-prod.fr/)
19:42:52	73668/73668	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2006%20May%202023%2018:42:51%20GMT	https://www.web-design-prod.fr/wp-content/uploads/2020/08/mc-favicon.png	/home/khalil/websites/seima/www.web-design-prod.fr/wp-content/uploads/2020/08/mc-favicon.png	(from https://www.web-design-prod.fr/)
19:42:52	94889/94889	---MCZ	200	added ('OK')	text/css	date:Sat,%2006%20May%202023%2018:42:52%20GMT	https://wwwwebdesignprodfr517c2.zapwp.com/m:0/a:https://www.web-design-prod.fr/wp-includes/css/dist/block-library/style.min.css?icv=2f7785	/home/khalil/websites/seima/wwwwebdesignprodfr517c2.zapwp.com/m_0/a_https_/www.web-design-prod.fr/wp-includes/css/dist/block-library/style.minb4cf.css	(from https://www.web-design-prod.fr/)
19:42:53	217/217	---MCZ	200	added ('OK')	text/css	date:Sat,%2006%20May%202023%2018:42:53%20GMT	https://wwwwebdesignprodfr517c2.zapwp.com/m:0/a:https://www.web-design-prod.fr/wp-includes/css/classic-themes.min.css?icv=2f7785	/home/khalil/websites/seima/wwwwebdesignprodfr517c2.zapwp.com/m_0/a_https_/www.web-design-prod.fr/wp-includes/css/classic-themes.minb4cf.css	(from https://www.web-design-prod.fr/)
19:42:55	1168730/1168730	---MCZ	200	added ('OK')	text/css	date:Sat,%2006%20May%202023%2018:42:54%20GMT	https://wwwwebdesignprodfr517c2.zapwp.com/m:0/a:https://www.web-design-prod.fr/wp-content/uploads/fusion-styles/ccc3aeaab23a64ceac670e9e7bf9d6ef.min.css?icv=2f7785	/home/khalil/websites/seima/wwwwebdesignprodfr517c2.zapwp.com/m_0/a_https_/www.web-design-prod.fr/wp-content/uploads/fusion-styles/ccc3aeaab23a64ceac670e9e7bf9d6ef.minb4cf.css	(from https://www.web-design-prod.fr/)
19:42:56	89684/89684	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2006%20May%202023%2018:42:55%20GMT	https://wwwwebdesignprodfr517c2.zapwp.com/m:0/a:https://www.web-design-prod.fr/wp-includes/js/jquery/jquery.min.js?js_icv=5021	/home/khalil/websites/seima/wwwwebdesignprodfr517c2.zapwp.com/m_0/a_https_/www.web-design-prod.fr/wp-includes/js/jquery/jquery.mind959.js	(from https://www.web-design-prod.fr/)
19:42:57	11224/11224	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2006%20May%202023%2018:42:56%20GMT	https://wwwwebdesignprodfr517c2.zapwp.com/m:0/a:https://www.web-design-prod.fr/wp-includes/js/jquery/jquery-migrate.min.js?js_icv=5021	/home/khalil/websites/seima/wwwwebdesignprodfr517c2.zapwp.com/m_0/a_https_/www.web-design-prod.fr/wp-includes/js/jquery/jquery-migrate.mind959.js	(from https://www.web-design-prod.fr/)
19:42:58	7264/7264	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2006%20May%202023%2018:42:57%20GMT	https://wwwwebdesignprodfr517c2.zapwp.com/m:0/a:https://www.web-design-prod.fr/wp-content/plugins/wp-compress-image-optimizer/assets/js/optimizer-adaptive.min.js?js_icv=5021	/home/khalil/websites/seima/wwwwebdesignprodfr517c2.zapwp.com/m_0/a_https_/www.web-design-prod.fr/wp-content/plugins/wp-compress-image-optimizer/assets/js/optimizer-adaptive.mind959.js	(from https://www.web-design-prod.fr/)
19:42:59	51259/51259	---MC-	200	added ('OK')	application/json	date:Sat,%2006%20May%202023%2018:42:58%20GMT	https://www.web-design-prod.fr/wp-json/wp/v2/pages/2625	/home/khalil/websites/seima/www.web-design-prod.fr/wp-json/wp/v2/pages/2625.json	(from https://www.web-design-prod.fr/)
19:42:59	267667/267667	---MC-	200	added ('OK')	application/json	date:Sat,%2006%20May%202023%2018:42:59%20GMT	https://www.web-design-prod.fr/wp-json/	/home/khalil/websites/seima/www.web-design-prod.fr/wp-json/index.html	(from https://www.web-design-prod.fr/)
19:43:00	2399/2399	---MC-	200	added ('OK')	application/json	date:Sat,%2006%20May%202023%2018:42:59%20GMT	https://www.web-design-prod.fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fwww.web-design-prod.fr%2F	/home/khalil/websites/seima/www.web-design-prod.fr/wp-json/oembed/1.0/embed7040.json	(from https://www.web-design-prod.fr/)
